Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Struct Template,"nlohmann::adl_serializer",0,1,0,1,17,18,1,1,1,1,1,0,1,0,0,0,0,,2,0,,,,,0,0,0,0,0,2,2,0,0,0,0,2,,36,1,17,1,0,18,0,0,,,,,4,4,0,0,,,,,,1,1,1,1,,0,0,,0,1.06,2,2,2,2
Public Static Function Template,"nlohmann::adl_serializer::from_json(BasicJsonType &&,ValueType &)",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Static Function Template,"nlohmann::adl_serializer::to_json(BasicJsonType &,ValueType &&)",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Class Template,"nlohmann::basic_json",0,2,0,555,2800,5178,1,1,1,1,2,0,2,0,0,19,0,,33,0,,,,,12,1,0,0,1,45,45,6,11,3,0,42,,8509,555,2757,88,42,5178,25,27,,,,,145,145,0,0,,,,,,1,1,1,1,,0,0,,100,1.88,45,45,45,45
Private Const Function,"nlohmann::basic_json::assert_invariant()",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"nlohmann::basic_json::at(const nlohmann::basic_json::json_pointer &)",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Const Function,"nlohmann::basic_json::at(const nlohmann::basic_json::json_pointer &)",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function Template,"nlohmann::basic_json::basic_json(CompatibleType &&)",,,,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"nlohmann::basic_json::basic_json(const nlohmann::basic_json::value_t)",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"nlohmann::basic_json::basic_json(int)",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
